subject,tag,Number of Smells,Smell
AdvBox,bf376164cf9790ba947a6beb99a375671713d12c,1,LongBaseClassList
AdvBox,bf436bd5eda0ef65ecadd2de5530b08ba346bfe0,3,LongBaseClassList
AdvBox,bf82e97e2261ed1b477c97b110f13020351e899b,1,LongBaseClassList
AdvBox,bfa9660a3e5e486b8d1ab0adbcb4dc6aec7b1f73,1,LongBaseClassList
AdvBox,c0dc68f44c2bfefe561d240aab9ec19ce1f2ab24,4,LongBaseClassList
AdvBox,c0e65d8dfac2c8fab2988ce98c7a88bb8cd02a97,3,LongBaseClassList
AdvBox,c38166365b5e30a877f026e338902734184cc905,1,LongBaseClassList
AdvBox,c396d3a07ce9b4d9579f1147053cef8286cb3026,1,LongBaseClassList
AdvBox,c47d133eced044ba55201234e97c383c95cd7467,4,LongBaseClassList
AdvBox,c53a8e092e84306c9743fd1a885544fbedb2d411,2,LongBaseClassList
AdvBox,c567d053de95cf68f70da6eca41040b74b494032,2,LongBaseClassList
AdvBox,c56ea23e4fddd837797624f0769fcb19b8bea5b6,1,LongBaseClassList
AdvBox,c730c943a62c07aad8fc15930e8b4c3aea8c1ada,1,LongBaseClassList
AdvBox,c7867ae6b8c1a67f764bac32115d9a179746356b,2,LongBaseClassList
AdvBox,cb4e194f09889f31bad9eaacd17b2028b02e91ca,2,LongBaseClassList
AdvBox,cb7f8437d25ab67f26682a05a2b717545337ebf6,1,LongBaseClassList
AdvBox,cca0172aa9935e779c56e04c8cefdd5b586686f2,4,LongBaseClassList
AdvBox,cce24ad43023990911efc250fea8e5fd607f1eae,10,LongBaseClassList
AdvBox,cd0caf3bdb6238fea1845c6d45a9af5df1b6afb0,1,LongBaseClassList
AdvBox,cd7065446d5b7e82cb646bbf78a04948c441269a,4,LongBaseClassList
AdvBox,cdf04285042a4497506cfa8db7f7198bd9f0a4fa,1,LongBaseClassList
AdvBox,ce636d56c0cf0331a425bb9440df9fbb71556ebb,1,LongBaseClassList
